,0
1999-03-04,-0.14948536734457535
1999-03-08,3.8147005765712696
1999-03-11,6.791956834985627
1999-03-15,5.794939261015665
1999-03-18,2.801315142906038
1999-03-22,-0.19868661737136722
1999-03-25,-0.20708381522198702
1999-03-29,-0.21546631327803825
1999-04-01,-0.2176417263738031
1999-04-05,-0.21789370019345197
1999-04-08,-0.21807764415817696
1999-04-12,-0.2182985894797774
1999-04-15,-0.2183688798971042
1999-04-19,-0.21840751513849693
1999-04-22,-0.2184552743348677
1999-04-26,-0.21849698860890446
1999-04-29,-0.2185169496647856
1999-05-03,-0.218541538510551
1999-05-06,-0.21853475094593988
1999-05-10,-0.21853106888535098
1999-05-13,-0.21853238770176772
1999-05-17,-0.21852917953218798
1999-05-20,-0.21853200993593178
1999-05-24,-0.218503019341328
1999-05-27,-0.21845630567936145
1999-05-31,-0.21845015768563017
1999-06-03,-0.21846049398210712
1999-06-07,-0.21842788771120789
1999-06-10,-0.21841076120277012
1999-06-14,-0.2184181511126253
1999-06-17,-0.2184259920119912
1999-06-21,-0.2184134244915255
1999-06-24,-0.21839563504731058
1999-06-28,-0.21836504847350155
1999-07-01,-0.21834136325556341
1999-07-05,-0.21831589452107233
1999-07-08,-0.21829652267490512
1999-07-12,-0.2182753981043685
1999-07-15,-0.21826100917831687
1999-07-19,-0.2182478977649855
1999-07-22,-0.2182408265438101
1999-07-26,-0.21823225067552918
1999-07-29,-0.2182275490459763
1999-08-02,-0.21821928077672717
1999-08-05,-0.21821762076053333
1999-08-09,-0.21821973422544208
1999-08-12,-0.21822068098644531
1999-08-16,-0.21820369431283076
1999-08-19,-0.21819928431265986
1999-08-23,-0.21823368758240555
1999-08-26,-0.2182446912223224
1999-08-30,-0.21825439432388302
1999-09-02,-0.21827292251615135
1999-09-06,-0.21829327799490766
1999-09-09,-0.21829984174053757
1999-09-13,-0.21828782273427536
1999-09-16,-0.21831090074817816
1999-09-20,-0.21835514359929198
1999-09-23,-0.21831875071155685
1999-09-27,-0.2182276025749426
1999-09-30,-0.21822822912465573
1999-10-04,-0.2183051242174786
1999-10-07,-0.21831001853342427
1999-10-11,-0.21826920215364606
1999-10-14,-0.21824821456724838
1999-10-18,-0.21821249818372257
1999-10-21,-0.2182097519084119
1999-10-25,-0.21820962581775158
1999-10-28,-0.21824714684595284
1999-11-01,-0.21828097440462849
1999-11-04,-0.21823801840311827
1999-11-08,-0.21814447438969162
1999-11-11,-0.21802096064647722
1999-11-15,-0.21782370121415584
1999-11-18,-0.21774234480993795
1999-11-22,-0.217708058350291
1999-11-25,-0.21770914203830796
1999-11-29,-0.2165775526844413
1999-12-02,-0.2118100316895376
1999-12-06,-0.20104916724427013
1999-12-09,-0.19274967150431863
1999-12-13,-0.18176895534513307
1999-12-16,-0.17348350766001444
1999-12-20,-0.16244747184330036
1999-12-23,-0.1542654308848049
1999-12-27,-0.14335933553176072
1999-12-30,-0.1351734887638573
2000-01-03,-0.12429706209657944
2000-01-06,-0.11618238255087039
2000-01-10,-0.10536872730083076
2000-01-13,-0.09725612763287045
2000-01-17,-0.08646715043602722
2000-01-20,-0.07841192882698907
2000-01-24,-0.06773224771970728
2000-01-27,-0.06166232367671175
2000-01-31,-0.06369729366070692
2000-02-03,-0.07129810470085447
2000-02-07,-0.08199840929672524
2000-02-10,-0.09000691210688735
2000-02-14,-0.10066801154380003
2000-02-17,-0.10871967720998328
2000-02-21,-0.11953829046084949
2000-02-24,-0.1277186748052733
2000-02-28,-0.13864312629640368
2000-03-02,-0.14678709483613717
2000-03-06,2.823077311535408
2000-03-09,5.799145483410171
2000-03-13,6.792016441294573
2000-03-16,3.799583797527287
2000-03-20,-0.1959212591083876
2000-03-23,-0.20426045880550178
2000-03-27,-0.21380821084906576
2000-03-30,-0.21707221421440873
2000-04-03,-0.2175228962009092
2000-04-06,-0.21762797571423168
2000-04-10,-0.2178374883467894
2000-04-13,-0.21806455107388298
2000-04-17,-0.21830434629630854
2000-04-20,-0.21838854627351578
2000-04-24,-0.2183970295083972
2000-04-27,-0.21832958778459904
2000-05-01,-0.2182497241179103
2000-05-04,-0.21820799267732194
2000-05-08,-0.218091890460758
2000-05-11,-0.21801009479917866
2000-05-15,-0.21800234592189188
2000-05-18,-0.2180305303436496
2000-05-22,-0.2180191342996888
2000-05-25,-0.21797770881408518
2000-05-29,-0.21792354593398372
2000-06-01,-0.2179095138869918
2000-06-05,-0.21792191956267695
2000-06-08,-0.21793266574475686
2000-06-12,-0.2179173422898064
2000-06-15,-0.21790965937135626
2000-06-19,-0.2179130643640297
2000-06-22,-0.21788890533285363
2000-06-26,-0.21785724061924436
2000-06-29,-0.21783709559382122
2000-07-03,-0.2178059632830972
2000-07-06,-0.21778024431633686
2000-07-10,-0.21774907250072353
2000-07-13,-0.21773613924014434
2000-07-17,-0.21772338705714042
2000-07-20,-0.21771402122162573
2000-07-24,-0.2177051661618663
2000-07-27,-0.21770683724561643
2000-07-31,-0.21770952707809207
2000-08-03,-0.21770215051482783
2000-08-07,-0.2176902822990548
2000-08-10,-0.21767889729490314
2000-08-14,-0.21767944069868872
2000-08-17,-0.2176983078284266
2000-08-21,-0.21769843463936694
2000-08-24,-0.2176835695330355
2000-08-28,-0.21766210267728853
2000-08-31,-0.21767254937093
2000-09-04,-0.2177246731203858
2000-09-07,-0.21774587349689278
2000-09-11,-0.2177576164403204
2000-09-14,-0.2177600072788347
2000-09-18,-0.21772487448661879
2000-09-21,-0.21764307819539938
2000-09-25,-0.2176282912644932
2000-09-28,-0.21767117825880183
2000-10-02,-0.21757991745463226
2000-10-05,-0.21753713130109342
2000-10-09,-0.21765341810850977
2000-10-12,-0.217720741207
2000-10-16,-0.2176985208063452
2000-10-19,-0.21767696577094117
2000-10-23,-0.2176807890043431
2000-10-26,-0.21767520635657597
2000-10-30,-0.21763545322940475
2000-11-02,-0.21763830644401444
2000-11-06,-0.2176641521541363
2000-11-09,-0.21764667096548
2000-11-13,-0.2175008879179164
2000-11-16,-0.21731823202154674
2000-11-20,-0.2172673682869841
2000-11-23,-0.21734483276448893
2000-11-27,-0.2169581087812005
2000-11-30,-0.2133531641784579
2000-12-04,-0.20346071948146346
2000-12-07,-0.1952071932144666
2000-12-11,-0.18415722710690133
2000-12-14,-0.17581705053597624
2000-12-18,-0.1647162241584253
2000-12-21,-0.15648380149492988
2000-12-25,-0.14597928847495203
2000-12-28,-0.13895180300896295
2001-01-01,-0.1292333615322067
2001-01-04,-0.12112305655687745
2001-01-08,-0.11031602665051533
2001-01-11,-0.102206889307877
2001-01-15,-0.09144869136399768
2001-01-18,-0.0834490641780158
2001-01-22,-0.07282107987547978
2001-01-25,-0.06497653693510934
2001-01-29,-0.06093666507505649
